BLOCO;REGIÃO ;PAÍS;PRODUÇÃO EM mil barris / dia;ANO
NÃO OPEP;América do Norte;Canadá;3456,807609;2010
NÃO OPEP;América do Norte;Estados Unidos;7558,36711;2010
NÃO OPEP;América do Norte;México;2959,36648;2010
NÃO OPEP;Américas Central e do Sul;Argentina;711,8400912;2010
NÃO OPEP;Américas Central e do Sul;Brasil;2125,05181;2010
NÃO OPEP;Américas Central e do Sul;Colômbia;785,8646;2010
OPEP;Américas Central e do Sul;Equador;488,0870101;2010
NÃO OPEP;Américas Central e do Sul;Peru;165,2114;2010
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;145,3675973;2010
OPEP;Américas Central e do Sul;Venezuela;2841,572027;2010
NÃO OPEP;Américas Central e do Sul;Outros;144,3361794;2010
NÃO OPEP;Europa;Dinamarca;249,4596007;2010
NÃO OPEP;Europa;Itália;105,9409508;2010
NÃO OPEP;Europa;Noruega;2132,682303;2010
NÃO OPEP;Europa;Reino Unido;1358,15995;2010
NÃO OPEP;Europa;Romênia;89,53994521;2010
NÃO OPEP;Europa;Outros;341,6443637;2010
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;1036,716877;2010
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;1675,710346;2010
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;10378,61994;2010
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;226,4876712;2010
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;77,71547507;2010
NÃO OPEP;Comunidade dos Estados Independentes;Outros;36,2;2010
OPEP;Oriente Médio;Arábia Saudita;9864,826757;2010
NÃO OPEP;Oriente Médio;Catar;1630,238145;2010
OPEP;Oriente Médio;Coveite;2564,212055;2010
OPEP;Oriente Médio;Emirados Árabes Unidos;2936,823808;2010
NÃO OPEP;Oriente Médio;Iêmen;306,4592836;2010
OPEP;Oriente Médio;Irã;4420,620479;2010
OPEP;Oriente Médio;Iraque;2468,874333;2010
NÃO OPEP;Oriente Médio;Omã;864,5882192;2010
NÃO OPEP;Oriente Médio;Síria;385;2010
NÃO OPEP;Oriente Médio;Outros;192,2684986;2010
OPEP;África;Argélia;1689,154;2010
OPEP;África;Angola;1812,318233;2010
NÃO OPEP;África;Chade;121,9178082;2010
OPEP;África;Congo ;313,8935;2010
NÃO OPEP;África;Egito;724,6610778;2010
OPEP;África;Gabão;233,195;2010
OPEP;África;Guiné-Equatorial;306,1095945;2010
OPEP;África;Líbia;1798,959333;2010
OPEP;África;Nigéria;2533,094263;2010
NÃO OPEP;África;Sudão;462,0708959;2010
NÃO OPEP;África;Sudão do Sul;0;2010
NÃO OPEP;África;Tunísia;83;2010
NÃO OPEP;África;Outros;149;2010
NÃO OPEP;Ásia-Pacífico;Austrália;547,8402912;2010
NÃO OPEP;Ásia-Pacífico;Brunei;172,1883061;2010
NÃO OPEP;Ásia-Pacífico;China;4076,966082;2010
NÃO OPEP;Ásia-Pacífico;Índia;901,3852225;2010
NÃO OPEP;Ásia-Pacífico;Indonésia;1003,017586;2010
NÃO OPEP;Ásia-Pacífico;Malásia;732,6525416;2010
NÃO OPEP;Ásia-Pacífico;Tailândia;393,3661781;2010
NÃO OPEP;Ásia-Pacífico;Vietnã;312,0843836;2010
NÃO OPEP;Ásia-Pacífico;Outros;318,0376115;2010
NÃO OPEP;América do Norte;Canadá;3636,742724;2011
NÃO OPEP;América do Norte;Estados Unidos;7882,727589;2011
NÃO OPEP;América do Norte;México;2940,31338;2011
NÃO OPEP;Américas Central e do Sul;Argentina;667,2363986;2011
NÃO OPEP;Américas Central e do Sul;Brasil;2173,046463;2011
NÃO OPEP;Américas Central e do Sul;Colômbia;915,2647151;2011
OPEP;Américas Central e do Sul;Equador;500,608001;2011
NÃO OPEP;Américas Central e do Sul;Peru;158,5065863;2011
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;135,8712877;2011
OPEP;Américas Central e do Sul;Venezuela;2755,021082;2011
NÃO OPEP;Américas Central e do Sul;Outros;144,4311164;2011
NÃO OPEP;Europa;Dinamarca;224,5075173;2011
NÃO OPEP;Europa;Itália;110,0996325;2011
NÃO OPEP;Europa;Noruega;2033,012687;2011
NÃO OPEP;Europa;Reino Unido;1113,79157;2011
NÃO OPEP;Europa;Romênia;88,51630137;2011
NÃO OPEP;Europa;Outros;336,2718936;2011
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;932,0758082;2011
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;1684,145009;2011
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;10533,3635;2011
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;234,0876712;2011
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;76,57890411;2011
NÃO OPEP;Comunidade dos Estados Independentes;Outros;35,992;2011
OPEP;Oriente Médio;Arábia Saudita;11079,22879;2011
NÃO OPEP;Oriente Médio;Catar;1824,34883;2011
OPEP;Oriente Médio;Coveite;2917,645205;2011
OPEP;Oriente Médio;Emirados Árabes Unidos;3300,134045;2011
NÃO OPEP;Oriente Médio;Iêmen;220,4243;2011
OPEP;Oriente Médio;Irã;4452,40411;2011
OPEP;Oriente Médio;Iraque;2773,276667;2011
NÃO OPEP;Oriente Médio;Omã;884,920274;2011
NÃO OPEP;Oriente Médio;Síria;352,8247;2011
NÃO OPEP;Oriente Médio;Outros;201,4690137;2011
OPEP;África;Argélia;1641,503205;2011
OPEP;África;Angola;1670,399937;2011
NÃO OPEP;África;Chade;113,6986301;2011
OPEP;África;Congo ;300,5626;2011
NÃO OPEP;África;Egito;714,341811;2011
OPEP;África;Gabão;236,282;2011
OPEP;África;Guiné-Equatorial;300,6430959;2011
OPEP;África;Líbia;516,0335685;2011
OPEP;África;Nigéria;2461,275704;2011
NÃO OPEP;África;Sudão;291,0022712;2011
NÃO OPEP;África;Sudão do Sul;0;2011
NÃO OPEP;África;Tunísia;77;2011
NÃO OPEP;África;Outros;198;2011
NÃO OPEP;Ásia-Pacífico;Austrália;482,5699968;2011
NÃO OPEP;Ásia-Pacífico;Brunei;165,3621162;2011
NÃO OPEP;Ásia-Pacífico;China;4074,184699;2011
NÃO OPEP;Ásia-Pacífico;Índia;936,7919655;2011
NÃO OPEP;Ásia-Pacífico;Indonésia;952,2847326;2011
NÃO OPEP;Ásia-Pacífico;Malásia;659,3441567;2011
NÃO OPEP;Ásia-Pacífico;Tailândia;429,0055874;2011
NÃO OPEP;Ásia-Pacífico;Vietnã;315,7657534;2011
NÃO OPEP;Ásia-Pacífico;Outros;302,3166262;2011
NÃO OPEP;América do Norte;Canadá;3859,869534;2012
NÃO OPEP;América do Norte;Estados Unidos;8926,461541;2012
NÃO OPEP;América do Norte;México;2911,097981;2012
NÃO OPEP;Américas Central e do Sul;Argentina;656,6560847;2012
NÃO OPEP;Américas Central e do Sul;Brasil;2131,583647;2012
NÃO OPEP;Américas Central e do Sul;Colômbia;944,1192268;2012
OPEP;Américas Central e do Sul;Equador;504,6155356;2012
NÃO OPEP;Américas Central e do Sul;Peru;157,2329945;2012
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;116,9523306;2012
OPEP;Américas Central e do Sul;Venezuela;2703,734191;2012
NÃO OPEP;Américas Central e do Sul;Outros;147,1031328;2012
NÃO OPEP;Europa;Dinamarca;204,2353349;2012
NÃO OPEP;Europa;Itália;111,6494579;2012
NÃO OPEP;Europa;Noruega;1911,122991;2012
NÃO OPEP;Europa;Reino Unido;947,2613601;2012
NÃO OPEP;Europa;Romênia;83,0704918;2012
NÃO OPEP;Europa;Outros;335,9746828;2012
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;882,3212295;2012
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;1664,131034;2012
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;10655,73349;2012
